time,max_temp,min_temp,is_holiday,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h,air_quality_excellent,air_quality_good,air_quality_slightly_polluted,air_quality_moderately_polluted,air_quality_heavy_polluted
2018/10/1,29,24,1,89,46,86,11,0.6,44,146,0,1,0,0,0
2018/10/2,30,24,1,101,35,62,9,0.6,21,161,0,0,1,0,0
2018/10/3,31,24,1,100,34,63,9,0.6,20,160,0,1,0,0,0
2018/10/4,30,23,1,104,34,60,10,0.5,27,164,0,0,1,0,0
2018/10/5,29,23,1,104,34,62,11,0.5,27,164,0,0,1,0,0
2018/10/6,29,22,1,114,36,62,11,0.5,26,175,0,0,1,0,0
2018/10/7,31,23,1,110,41,71,9,0.6,25,171,0,0,1,0,0
2018/10/8,31,24,0,103,35,60,7,0.6,20,163,0,0,1,0,0
2018/10/9,30,24,0,67,33,57,7,0.6,24,120,0,1,0,0,0
2018/10/10,28,23,0,73,53,76,7,0.7,32,74,0,1,0,0,0
2018/10/11,26,21,0,36,23,34,6,0.7,23,71,1,0,0,0,0
2018/10/12,26,21,0,53,26,41,6,0.6,23,103,0,1,0,0,0
2018/10/13,27,23,0,63,25,44,7,0.6,24,115,0,1,0,0,0
2018/10/14,28,24,0,44,20,39,6,0.5,17,88,1,0,0,0,0
2018/10/15,28,22,0,43,20,37,6,0.5,19,85,1,0,0,0,0
2018/10/16,26,21,0,40,22,32,5,0.7,32,41,1,0,0,0,0
2018/10/17,25,21,0,38,16,26,5,0.9,30,31,1,0,0,0,0
2018/10/18,24,19,0,34,16,24,5,0.6,27,51,1,0,0,0,0
2018/10/19,26,21,0,55,27,44,7,0.6,23,106,0,1,0,0,0
2018/10/20,28,23,0,55,24,40,6,0.5,17,106,0,1,0,0,0
2018/10/21,27,23,0,51,22,38,7,0.5,18,101,0,1,0,0,0
2018/10/22,29,22,0,47,26,45,8,0.5,34,94,1,0,0,0,0
2018/10/23,27,23,0,49,28,46,7,0.9,32,98,1,0,0,0,0
2018/10/24,27,23,0,51,25,43,6,0.7,25,101,0,1,0,0,0
2018/10/25,28,23,0,61,29,45,6,0.6,21,113,0,1,0,0,0
2018/10/26,29,23,0,93,45,71,8,0.9,39,151,0,1,0,0,0
2018/10/27,27,20,0,71,27,44,8,0.6,25,125,0,1,0,0,0
2018/10/28,28,20,0,70,26,54,10,0.5,32,124,0,1,0,0,0
2018/10/29,28,20,0,67,29,63,10,0.5,44,120,0,1,0,0,0
2018/10/30,29,20,0,67,27,59,11,0.5,36,120,0,1,0,0,0
2018/10/31,28,22,0,67,26,55,11,0.5,23,120,0,1,0,0,0
2018/11/1,26,22,0,64,28,60,10,0.5,19,116,0,1,0,0,0
2018/11/2,24,19,0,53,36,56,7,0.6,22,84,0,1,0,0,0
2018/11/3,24,19,0,47,22,41,5,0.6,37,47,1,0,0,0,0
2018/11/4,25,20,0,39,23,39,6,0.6,27,74,1,0,0,0,0
2018/11/5,27,22,0,45,21,33,7,0.5,23,89,1,0,0,0,0
2018/11/6,30,23,0,43,17,32,7,0.5,25,86,1,0,0,0,0
2018/11/7,30,22,0,45,26,45,8,0.5,32,90,1,0,0,0,0
2018/11/8,27,22,0,62,44,66,8,0.9,36,93,0,1,0,0,0
2018/11/9,27,21,0,53,27,47,7,0.7,26,103,0,1,0,0,0
2018/11/10,26,22,0,49,31,49,6,0.7,21,81,1,0,0,0,0
2018/11/11,27,21,0,46,31,46,7,0.6,30,84,0,1,0,0,0
2018/11/12,27,22,0,87,43,72,9,0.7,48,144,0,1,0,0,0
2018/11/13,27,21,0,50,28,44,7,0.6,24,99,1,0,0,0,0
2018/11/14,27,22,0,48,22,37,6,0.5,18,95,1,0,0,0,0
2018/11/15,27,22,0,43,20,39,6,0.5,17,86,1,0,0,0,0
2018/11/16,27,22,0,39,23,39,6,0.5,20,78,1,0,0,0,0
2018/11/17,25,22,0,46,27,46,6,0.6,29,59,1,0,0,0,0
2018/11/18,25,20,0,35,19,33,6,0.5,27,70,1,0,0,0,0
2018/11/19,24,20,0,42,18,37,6,0.7,31,83,1,0,0,0,0
2018/11/20,26,21,0,41,20,41,6,0.7,27,80,1,0,0,0,0
2018/11/21,27,17,0,46,25,46,6,0.7,27,92,1,0,0,0,0
2018/11/22,21,16,0,43,25,43,6,0.7,22,78,0,1,0,0,0
2018/11/23,25,17,0,61,38,63,7,0.7,30,113,0,1,0,0,0
2018/11/24,25,18,0,57,37,64,6,0.6,33,108,0,1,0,0,0
2018/11/25,23,19,0,56,38,61,6,0.7,39,48,0,1,0,0,0
2018/11/26,21,17,0,38,19,34,5,0.6,30,51,1,0,0,0,0
2018/11/27,22,18,0,55,38,59,6,0.7,40,46,0,1,0,0,0
2018/11/28,22,16,0,53,37,52,6,0.7,40,43,0,1,0,0,0
2018/11/29,24,19,0,54,36,57,6,0.6,32,95,0,1,0,0,0
2018/11/30,25,20,0,59,31,53,6,0.6,29,110,0,1,0,0,0
2018/12/1,25,20,0,55,34,60,6,0.6,23,98,0,1,0,0,0
2018/12/2,26,20,0,51,28,52,6,0.5,24,91,0,1,0,0,0
2018/12/3,28,20,0,47,26,47,6,0.6,35,61,1,0,0,0,0
2018/12/4,28,20,0,58,25,48,6,0.7,46,70,0,1,0,0,0
2018/12/5,26,23,0,52,28,53,6,0.7,32,66,0,1,0,0,0
2018/12/6,25,16,0,42,23,42,6,0.7,31,67,1,0,0,0,0
2018/12/7,20,14,0,59,42,50,5,0.9,31,18,0,1,0,0,0
